"station","tag","sample_id","depth","division","genus","asv","sum_reads","repl"
"EMB262_12_2_MUC","EMB262_12_2_MUC_34","PA110E",34,"Ochrophyta","Skeletonema",2,16.5,2
"EMB262_12_2_MUC","EMB262_12_2_MUC_35","PA147E",35,"Dinoflagellata","Apocalathium",1,13.25,1
"EMB262_12_2_MUC","EMB262_12_2_MUC_35","PA147E",35,"Ochrophyta","Skeletonema",2,20,2
"EMB262_12_2_MUC","EMB262_12_2_MUC_4","PA219E",4,"Dinoflagellata","Apocalathium",1,360.25,4
"EMB262_12_2_MUC","EMB262_12_2_MUC_4","PA219E",4,"Ochrophyta","Skeletonema",0,0,0
"EMB262_12_2_MUC","EMB262_12_2_MUC_5","PA077E",5,"Dinoflagellata","Apocalathium",1,32,3
"EMB262_12_2_MUC","EMB262_12_2_MUC_5","PA077E",5,"Ochrophyta","Skeletonema",1,0.25,1
"EMB262_12_2_MUC","EMB262_12_2_MUC_6","PA123E",6,"Dinoflagellata","Apocalathium",1,46.5,4
"EMB262_12_2_MUC","EMB262_12_2_MUC_6","PA123E",6,"Ochrophyta","Skeletonema",0,0,0
"EMB262_12_2_MUC","EMB262_12_2_MUC_6","PA197E",6,"Dinoflagellata","Apocalathium",1,60.5,4
"EMB262_12_2_MUC","EMB262_12_2_MUC_6","PA197E",6,"Ochrophyta","Skeletonema",0,0,0
"EMB262_12_2_MUC","EMB262_12_2_MUC_7","PA083E",7,"Dinoflagellata","Apocalathium",1,362,4
"EMB262_12_2_MUC","EMB262_12_2_MUC_7","PA083E",7,"Ochrophyta","Skeletonema",0,0,0
"EMB262_12_2_MUC","EMB262_12_2_MUC_8","PA300E",8,"Dinoflagellata","Apocalathium",1,1233.5,4
"EMB262_12_2_MUC","EMB262_12_2_MUC_8","PA300E",8,"Ochrophyta","Skeletonema",0,0,0
"EMB262_12_2_MUC","EMB262_12_2_MUC_9","PA056E",9,"Dinoflagellata","Apocalathium",1,781.5,4
"EMB262_12_2_MUC","EMB262_12_2_MUC_9","PA056E",9,"Ochrophyta","Skeletonema",1,0.5,1
"EMB262_13_8_MUC","EMB262_13_8_MUC_1","PA175E",1,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_1","PA175E",1,"Ochrophyta","Skeletonema",2,1.25,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_10","PA120E",10,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_10","PA120E",10,"Ochrophyta","Skeletonema",1,246.5,1
"EMB262_13_8_MUC","EMB262_13_8_MUC_11","PA180E",11,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_11","PA180E",11,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_12","PA130E",12,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_12","PA130E",12,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_13","PA166E",13,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_13","PA166E",13,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_14","PA099E",14,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_14","PA099E",14,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_15","PA141E",15,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_15","PA141E",15,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_16","PA125E",16,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_16","PA125E",16,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_17","PA080E",17,"Dinoflagellata","Apocalathium",1,40.75,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_17","PA080E",17,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_18","PA073E",18,"Dinoflagellata","Apocalathium",1,20.5,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_18","PA073E",18,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_19","PA071E",19,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_19","PA071E",19,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_2","PA177E",2,"Dinoflagellata","Apocalathium",1,143.25,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_2","PA177E",2,"Ochrophyta","Skeletonema",1,0.25,1
"EMB262_13_8_MUC","EMB262_13_8_MUC_20","PA176E",20,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_20","PA176E",20,"Ochrophyta","Skeletonema",1,0.5,1
"EMB262_13_8_MUC","EMB262_13_8_MUC_21","PA057E",21,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_21","PA057E",21,"Ochrophyta","Skeletonema",2,0.5,2
"EMB262_13_8_MUC","EMB262_13_8_MUC_22","PA058E",22,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_22","PA058E",22,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_23","PA060E",23,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_23","PA060E",23,"Ochrophyta","Skeletonema",1,0.75,2
"EMB262_13_8_MUC","EMB262_13_8_MUC_24","PA126E",24,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_24","PA126E",24,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_25","PA061E",25,"Dinoflagellata","Apocalathium",1,6.75,3
"EMB262_13_8_MUC","EMB262_13_8_MUC_25","PA061E",25,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_26","PA059E",26,"Dinoflagellata","Apocalathium",1,82.5,3
"EMB262_13_8_MUC","EMB262_13_8_MUC_26","PA059E",26,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_27","PA270E",27,"Dinoflagellata","Apocalathium",1,157.5,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_27","PA270E",27,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_3","PA157E",3,"Dinoflagellata","Apocalathium",1,34.25,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_3","PA157E",3,"Ochrophyta","Skeletonema",1,0.25,1
"EMB262_13_8_MUC","EMB262_13_8_MUC_4","PA152E",4,"Dinoflagellata","Apocalathium",1,38.25,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_4","PA152E",4,"Ochrophyta","Skeletonema",2,0.75,3
"EMB262_13_8_MUC","EMB262_13_8_MUC_5","PA163E",5,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_5","PA163E",5,"Ochrophyta","Skeletonema",4,3851.25,8
"EMB262_13_8_MUC","EMB262_13_8_MUC_6","PA174E",6,"Dinoflagellata","Apocalathium",1,42.75,4
"EMB262_13_8_MUC","EMB262_13_8_MUC_6","PA174E",6,"Ochrophyta","Skeletonema",3,1.75,5
"EMB262_13_8_MUC","EMB262_13_8_MUC_7","PA179E",7,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_7","PA179E",7,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_8","PA168E",8,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_8","PA168E",8,"Ochrophyta","Skeletonema",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_9","PA111E",9,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_13_8_MUC","EMB262_13_8_MUC_9","PA111E",9,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_1","PA051E",1,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_1","PA051E",1,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_11","PA114E",11,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_11","PA114E",11,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_12","PA053E",12,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_12","PA053E",12,"Ochrophyta","Skeletonema",1,1,3
"EMB262_6_28_MUC","EMB262_6_28_MUC_13","PA070E",13,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_13","PA070E",13,"Ochrophyta","Skeletonema",1,0.5,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_14","PA050E",14,"Dinoflagellata","Apocalathium",1,0.25,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_14","PA050E",14,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_15","PA154E",15,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_15","PA154E",15,"Ochrophyta","Skeletonema",2,1,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_16","PA062E",16,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_16","PA062E",16,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_17","PA100E",17,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_17","PA100E",17,"Ochrophyta","Skeletonema",3,1.25,4
"EMB262_6_28_MUC","EMB262_6_28_MUC_18","PA075E",18,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_18","PA075E",18,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_19","PA135E",19,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_19","PA135E",19,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_20","PA087E",20,"Dinoflagellata","Apocalathium",1,14.5,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_20","PA087E",20,"Ochrophyta","Skeletonema",1,12.5,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_21","PA095E",21,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_21","PA095E",21,"Ochrophyta","Skeletonema",2,0.75,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_22","PA109E",22,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_22","PA109E",22,"Ochrophyta","Skeletonema",1,5,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_23","PA107E",23,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_23","PA107E",23,"Ochrophyta","Skeletonema",1,0.75,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_24","PA158E",24,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_24","PA158E",24,"Ochrophyta","Skeletonema",1,5.75,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_26","PA150E",26,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_26","PA150E",26,"Ochrophyta","Skeletonema",2,57.5,4
"EMB262_6_28_MUC","EMB262_6_28_MUC_27","PA144E",27,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_27","PA144E",27,"Ochrophyta","Skeletonema",2,19.25,3
"EMB262_6_28_MUC","EMB262_6_28_MUC_28","PA142E",28,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_28","PA142E",28,"Ochrophyta","Skeletonema",1,1,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_28","PA208E",28,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_28","PA208E",28,"Ochrophyta","Skeletonema",1,1.25,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_29","PA162E",29,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_29","PA162E",29,"Ochrophyta","Skeletonema",1,0.25,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_3","PA082E",3,"Dinoflagellata","Apocalathium",1,3.25,4
"EMB262_6_28_MUC","EMB262_6_28_MUC_3","PA082E",3,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_30","PA148E",30,"Dinoflagellata","Apocalathium",1,1.75,2
"EMB262_6_28_MUC","EMB262_6_28_MUC_30","PA148E",30,"Ochrophyta","Skeletonema",1,0.75,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_31","PA139E",31,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_31","PA139E",31,"Ochrophyta","Skeletonema",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_32","PA153E",32,"Dinoflagellata","Apocalathium",0,0,0
"EMB262_6_28_MUC","EMB262_6_28_MUC_32","PA153E",32,"Ochrophyta","Skeletonema",1,1.5,1
"EMB262_6_28_MUC","EMB262_6_28_MUC_33","PA181E",33,"Dinoflagellata","Apocalathium",0,0,0
