"station","age","depth","sample_weight","tag","sample_id","kingdom","Interest","repl.pa","sum.reads","norm.reads"
"EMB262_12_2_MUC",1944,16,635,"EMB262_12_2_MUC_16","PA081E","Eukaryota","Dinoflagellata",191,4904.5,3861.81102362205
"EMB262_12_2_MUC",1950,15,689,"EMB262_12_2_MUC_15","PA089E","Eukaryota","Diatom",118,21132.5,15335.6313497823
"EMB262_12_2_MUC",1950,15,689,"EMB262_12_2_MUC_15","PA089E","Eukaryota","Dinoflagellata",400,22178,16094.3396226415
"EMB262_12_2_MUC",1952,14,669,"EMB262_12_2_MUC_14","PA136E","Eukaryota","Diatom",107,30566,22844.5440956652
"EMB262_12_2_MUC",1952,14,669,"EMB262_12_2_MUC_14","PA136E","Eukaryota","Dinoflagellata",372,22923,17132.2869955157
"EMB262_12_2_MUC",1956,13,748,"EMB262_12_2_MUC_13","PA065E","Eukaryota","Diatom",120,15284.5,10216.9117647059
"EMB262_12_2_MUC",1956,13,748,"EMB262_12_2_MUC_13","PA065E","Eukaryota","Dinoflagellata",304,9880.75,6604.77941176471
"EMB262_12_2_MUC",1960,12,598,"EMB262_12_2_MUC_12","PA055E","Eukaryota","Diatom",67,3082.5,2577.34113712375
"EMB262_12_2_MUC",1960,12,598,"EMB262_12_2_MUC_12","PA055E","Eukaryota","Dinoflagellata",222,6819.75,5702.13210702341
"EMB262_12_2_MUC",1966,11,723,"EMB262_12_2_MUC_11","PA054E","Eukaryota","Diatom",74,9171,6342.32365145228
"EMB262_12_2_MUC",1966,11,723,"EMB262_12_2_MUC_11","PA054E","Eukaryota","Dinoflagellata",293,7884,5452.28215767635
"EMB262_12_2_MUC",1971,10,581,"EMB262_12_2_MUC_10","PA186E","Eukaryota","Diatom",72,17177.25,14782.487091222
"EMB262_12_2_MUC",1971,10,581,"EMB262_12_2_MUC_10","PA186E","Eukaryota","Dinoflagellata",386,16439.25,14147.3752151463
"EMB262_12_2_MUC",1976,9,578,"EMB262_12_2_MUC_9","PA056E","Eukaryota","Diatom",94,9553.5,8264.27335640138
"EMB262_12_2_MUC",1976,9,578,"EMB262_12_2_MUC_9","PA056E","Eukaryota","Dinoflagellata",324,14744.5,12754.7577854671
"EMB262_12_2_MUC",1981,8,508,"EMB262_12_2_MUC_8","PA300E","Eukaryota","Diatom",87,3914,3852.36220472441
"EMB262_12_2_MUC",1981,8,508,"EMB262_12_2_MUC_8","PA300E","Eukaryota","Dinoflagellata",368,17582.5,17305.6102362205
"EMB262_12_2_MUC",1986,7,652,"EMB262_12_2_MUC_7","PA083E","Eukaryota","Diatom",51,2110.5,1618.48159509202
"EMB262_12_2_MUC",1986,7,652,"EMB262_12_2_MUC_7","PA083E","Eukaryota","Dinoflagellata",382,28649.5,21970.4754601227
"EMB262_12_2_MUC",1991,6,817,"EMB262_12_2_MUC_6","PA197E","Eukaryota","Diatom",1,0.75,0.458996328029376
"EMB262_12_2_MUC",1991,6,817,"EMB262_12_2_MUC_6","PA197E","Eukaryota","Dinoflagellata",289,29044.75,17775.2447980416
"EMB262_12_2_MUC",1991,6,864,"EMB262_12_2_MUC_6","PA123E","Eukaryota","Diatom",1,0.25,0.144675925925926
"EMB262_12_2_MUC",1991,6,864,"EMB262_12_2_MUC_6","PA123E","Eukaryota","Dinoflagellata",275,22220.25,12858.9409722222
"EMB262_12_2_MUC",1996,5,514,"EMB262_12_2_MUC_5","PA077E","Eukaryota","Diatom",5,1.5,1.4591439688716
"EMB262_12_2_MUC",1996,5,514,"EMB262_12_2_MUC_5","PA077E","Eukaryota","Dinoflagellata",262,23347.75,22711.8190661479
